id,desc,um,image,model
None,String,String,String,String
B100339,STELO CILINDRO GRASSO NEW 2014  DCT-450,NR,,
HI00007,RASCHIATORE *TTV 25-12-10*,NR,,
B100293ZN,BLOCCHETTO ANTIROTAZIONE CILINDRO GRASSO DCT-450,NR,,
U5927-M10X12,GRANO CAVA ESAGONALE PUNTA CONICA UNI 5927-M10X12,NR,,
U7435-D25,ANELLO SEEGER PER ALBERI Ø 25  *UNI 7435 D25*,NR,,
B100242,TESTATA CILINDRO GRASSO DCT-450,NR,,
HI00006,RASCHIATORE *GHR 25-33-5/7* DCT-450,NR,,
B100340,CAMERA CILINDRO GRASSO DCT-450,NR,,
CM00023,MOLLA ISO 10243 3S ROSSA L 0305 DIAM. 63 SEZ.FILO 11.2X12.9 DCT-450,NR,,
B100240,ALBERO TESTATA CILINDRO GRASSO DCT-450,NR,,
U7473-M16,DADO AUTOFRENANTE UNI 7473.M16 *ZINC*,NR,,
B100337,RUOTE TEFLON GRANDI,NR,,
B100290ZN,TENSIONATORE CINGOLO DCT-450   *ZINC*,NR,,
CM00016,CUSCINETTO LDI 25X62X17 CUN6305 2RSR,NR,,
U7437-D62,ANELLO SEGER DCT-450,NR,,
B100338,COPERTURA RUOTA DCT-450,NR,,
U5933-M12X25 A2,VITE TSE UNI5933 M12X25 *INOX A2*,NR,,
